ID,count_00,count_01,count_02,count_03,count_04,count_05,count_06,count_07,count_08,count_09,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,sum,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17
BM38_0008_t,317,0,696,0,449,1493,0,1237,0,1052,1671,0,0,0,0,0,1209,0,8124,3.9,0,8.57,0,5.53,18.38,0,15.23,0,12.95,20.57,0,0,0,0,0,14.88,0
BM38_0006_t,471,0,1272,0,433,1604,0,1279,0,1115,723,0,0,0,0,0,1277,0,8174,5.76,0,15.56,0,5.3,19.62,0,15.65,0,13.64,8.85,0,0,0,0,0,15.62,0
BM39_0001_t,625,1040,505,0,488,355,0,0,181,412,0,0,0,0,0,0,1040,0,4646,13.45,22.38,10.87,0,10.5,7.64,0,0,3.9,8.87,0,0,0,0,0,0,22.38,0
BM39_0000_t,0,0,322,3605,412,0,0,0,778,0,0,0,0,0,507,0,338,382,6344,0,0,5.08,56.83,6.49,0,0,0,12.26,0,0,0,0,0,7.99,0,5.33,6.02
BM39_0002_t,549,1351,1257,0,541,0,0,0,306,498,0,0,0,0,0,0,1066,0,5568,9.86,24.26,22.58,0,9.72,0,0,0,5.5,8.94,0,0,0,0,0,0,19.15,0
BM40_0011_t,261,0,63,0,490,0,0,0,0,0,0,0,0,0,1053,0,0,1558,3425,7.62,0,1.84,0,14.31,0,0,0,0,0,0,0,0,0,30.74,0,0,45.49
BM40_0012_t,471,0,157,0,1308,0,0,0,0,0,0,0,0,0,1816,0,0,2369,6121,7.69,0,2.56,0,21.37,0,0,0,0,0,0,0,0,0,29.67,0,0,38.7
BM40_0013_t,166,0,47,0,552,0,0,0,0,0,80,0,0,0,286,0,0,1232,2363,7.02,0,1.99,0,23.36,0,0,0,0,0,3.39,0,0,0,12.1,0,0,52.14
BM41_0008_t,0,0,0,1286,244,0,0,21,0,0,0,0,0,0,750,0,0,0,2301,0,0,0,55.89,10.6,0,0,0.91,0,0,0,0,0,0,32.59,0,0,0
BM41_0010_t,170,0,137,494,100,0,0,117,0,0,0,0,0,0,170,236,0,0,1424,11.94,0,9.62,34.69,7.02,0,0,8.22,0,0,0,0,0,0,11.94,16.57,0,0
BM41_0002_t,523,0,714,3002,739,0,0,0,0,0,0,0,0,0,1985,0,519,0,7482,6.99,0,9.54,40.12,9.88,0,0,0,0,0,0,0,0,0,26.53,0,6.94,0
BM41_0006_t,527,0,892,4111,627,0,0,0,0,0,0,0,0,0,491,0,592,0,7240,7.28,0,12.32,56.78,8.66,0,0,0,0,0,0,0,0,0,6.78,0,8.18,0
BM41_0004_t,501,0,1011,3683,816,0,0,0,0,0,0,0,0,0,1125,0,0,0,7136,7.02,0,14.17,51.61,11.43,0,0,0,0,0,0,0,0,0,15.77,0,0,0
BM47_0001_t,314,0,787,0,1640,219,240,0,0,0,563,0,0,0,0,0,324,0,4087,7.68,0,19.26,0,40.13,5.36,5.87,0,0,0,13.78,0,0,0,0,0,7.93,0
